"Population by age, sex and year"

"age" "sex" "1860" "1861" "1862" "1863" "1864" "1865" "1866" "1867" "1868" "1869" "1870" "1871" "1872" "1873" "1874" "1875" "1876" "1877" "1878" "1879" "1880" "1881" "1882" "1883" "1884" "1885" "1886" "1887" "1888" "1889" "1890" "1891" "1892" "1893" "1894" "1895" "1896" "1897" "1898" "1899" "1900" "1901" "1902" "1903" "1904" "1905" "1906" "1907" "1908" "1909" "1910" "1911" "1912" "1913" "1914" "1915" "1916" "1917" "1918" "1919" "1920" "1921" "1922" "1923" "1924" "1925" "1926" "1927" "1928" "1929" "1930" "1931" "1932" "1933" "1934" "1935" "1936" "1937" "1938" "1939" "1940" "1941" "1942" "1943" "1944" "1945" "1946" "1947" "1948" "1949" "1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010" "2011" "2012" "2013" "2014" "2015" "2016" "2017" "2018" "2019" "2020"
"74 years" "women" 5793 5310 5983 5909 6044 6469 7334 6716 7412 6450 7091 6842 6914 6897 5901 6441 7591 7250 7584 7518 7111 7431 6980 6668 8474 9260 9059 7664 8995 10274 10514 9879 10142 10061 10641 11776 12326 12943 12390 13055 12606 11278 12287 12761 12454 11536 12235 13560 13771 13707 13323 12588 12188 12661 13624 12975 13743 13529 14100 13428 12497 13079 13740 14818 14400 14295 13603 14274 15775 14768 14853 15369 16519 16956 16732 15810 16747 16838 17219 16884 17054 15543 14278 15426 16113 17213 17054 17583 18003 18771 18884 20107 20006 21060 20664 20861 21347 21955 23459 23722 24477 25295 25372 25245 26056 27294 27083 28217 28831 29842 30254 30802 32025 32296 34196 34939 35757 35428 36567 37357 38256 39291 40214 41079 40529 40647 41565 41088 41149 39803 39783 40254 39503 39347 47961 45398 42326 41498 40948 40118 39027 37931 38609 36980 37886 36719 36475 34836 35276 35574 37313 37969 39775 40923 40451 42271 47420 51746 54968 56058 56702
"75 years" "men" 3019 3392 3323 3754 3437 3943 4122 4538 4371 3741 4180 4544 4502 4463 4391 3755 4099 5043 4768 4990 4900 4782 5043 4708 4271 5770 6230 6209 5188 6393 7247 7578 7056 7398 7577 7948 8896 8949 9681 8702 9565 9369 8357 8919 9551 9155 8569 9271 10094 10231 10088 9629 9399 8886 9138 10092 9516 9934 9914 10589 9910 9512 9857 10119 11099 10970 10921 10177 10901 12041 11358 11012 11507 12620 12996 12838 11821 12713 13101 13108 12980 13411 12091 10893 12583 12969 14169 14024 14348 14838 15707 15921 16969 16269 17274 16758 16970 17131 17318 18826 18870 19375 19569 19557 19065 19580 20421 20321 21142 21079 22285 22964 22898 23687 23586 24766 25610 26067 25896 26551 26721 28173 28867 29461 30599 30550 30384 30878 30827 30616 29513 29974 30200 29587 30040 36360 34495 32042 32342 31216 31048 30201 29419 30008 29081 29780 29424 29722 28720 29167 30575 31853 33028 34699 36498 36691 38563 43877 47508 51059 52057
"75 years" "women" 4921 5304 4801 5516 5370 5548 5928 6670 6073 6783 6087 6479 6298 6379 6341 5349 5915 7079 6723 7034 6842 6557 6926 6463 6158 7871 8647 8497 7080 8391 9493 9770 9018 9443 9376 9968 10997 11583 12103 11488 12092 11787 10562 11476 11942 11648 10858 11433 12641 12934 12887 12567 11808 11446 11881 12729 12218 12885 12643 13209 12608 11738 12211 12906 13900 13542 13464 12733 13343 14819 13974 13807 14418 15549 15924 15590 14821 15652 15781 16099 15842 16071 14709 13495 14514 15145 16186 16003 16533 16925 17649 17826 19027 18920 19977 19629 19807 20178 20864 22318 22453 23333 24067 24248 24095 24883 26048 26132 26962 27633 28682 29099 29539 30850 31103 32983 33701 34586 34273 35386 36139 36970 38081 39032 39850 39304 39483 40426 39921 40069 38736 38764 39198 38543 38445 46833 44301 41264 40531 39943 39205 38106 37089 37799 36178 37075 35997 35716 34168 34583 34872 36612 37239 39037 40182 39688 41544 46580 50787 54018 55042
"76 years" "men" 2719 2680 3044 2978 3372 3060 3546 3611 4003 3830 3733 3746 4121 4062 3981 3920 3372 3655 4635 4355 4465 4418 4351 4574 4266 3815 5303 5709 5679 4685 5850 6605 6854 6409 6794 6970 7330 8229 8231 8842 8229 8839 8629 7754 8205 8770 8476 7916 8552 9290 9516 9350 8909 8737 8224 8337 9311 8820 9104 9183 9842 9201 8779 9130 9402 10296 10152 10089 9417 10088 11144 10501 10181 10773 11692 12002 11773 10877 11709 12145 12110 12019 12546 11286 10178 11673 12089 13076 13112 13383 13748 14631 14884 15796 15173 16154 15648 15835 16003 16253 17562 17603 18008 18206 18274 17715 18308 19085 18908 19720 19725 20840 21425 21349 22121 21995 23059 23866 24323 24181 24872 25027 26451 27084 27599 28803 28752 28620 29128 29198 28906 27898 28461 28625 28068 28614 34637 32836 30482 30866 29834 29709 28913 28174 28858 27975 28681 28296 28687 27724 28146 29533 30811 31947 33581 35344 35574 37482 42615 46126 49507
"76 years" "women" 4389 4460 4826 4339 4981 4880 5061 5326 6040 5450 5598 5525 5959 5761 5819 5792 4845 5407 6564 6179 6370 6282 6055 6401 5961 5579 7300 8043 7888 6495 7785 8784 8889 8293 8710 8730 9256 10215 10799 11146 10621 11172 10943 9826 10639 11030 10909 10082 10576 11816 12074 12013 11646 11026 10646 10990 11891 11357 11986 11791 12321 11740 10862 11458 12099 13057 12637 12461 11878 12361 13887 12767 12825 13444 14528 14813 14482 13734 14585 14678 14955 14778 15052 13823 12600 13626 14156 15098 15027 15478 15838 16507 16722 17872 17854 18854 18459 18613 19038 19718 21046 21270 22026 22787 22995 22849 23632 24861 24857 25714 26366 27391 27787 28302 29540 29791 31668 32365 33240 32984 34059 34851 35676 36771 37744 38490 38047 38302 39140 38673 38851 37590 37655 38038 37506 37404 45505 43113 40114 39441 38875 38280 37170 36171 36922 35363 36240 35157 34922 33445 33836 34102 35795 36458 38288 39364 38911 40689 45668 49806 52935
"77 years" "men" 2267 2404 2353 2720 2611 3006 2668 3072 3130 3509 3294 3298 3353 3696 3601 3512 3551 2950 3265 4231 3957 3976 3999 3914 4096 3828 3413 4836 5172 5161 4560 5283 5889 6187 5802 6194 6370 6712 7539 7402 8018 7552 8040 7864 7065 7484 8005 7763 7233 7881 8594 8718 8535 8148 8018 7468 7626 8519 8090 8350 8391 9088 8471 8080 8410 8692 9530 9282 9285 8626 9293 10160 9625 9418 9932 10670 10999 10786 9965 10747 11089 11152 11066 11627 10387 9371 10804 11118 12101 12103 12311 12728 13508 13754 14599 14044 14960 14475 14636 14811 14980 16348 16249 16661 16826 16881 16396 16928 17612 17489 18269 18261 19264 19841 19699 20476 20366 21485 22152 22549 22488 23164 23327 24656 25253 25760 26972 26853 26708 27321 27393 27125 26273 26792 27019 26461 27045 32777 31057 28957 29311 28390 28302 27503 26921 27598 26757 27550 27181 27557 26678 27003 28446 29708 30774 32475 34133 34368 36201 41314 44494
"77 years" "women" 3547 3956 3996 4362 3820 4519 4412 4467 4722 5411 4999 5051 5045 5436 5192 5230 5313 4348 4911 6039 5614 5788 5773 5550 5857 5421 5068 6763 7381 7255 6179 7141 7937 8140 7563 8013 8081 8476 9452 9861 10194 9751 10268 10092 9050 9789 10229 10061 9271 9786 10974 11151 11093 10791 10163 9720 10137 11036 10509 10987 11000 11439 10799 10114 10549 11240 12109 11577 11558 10938 11524 12711 11778 11903 12478 13359 13654 13337 12679 13436 13517 13814 13770 14059 12794 11689 12605 13103 14058 13961 14382 14697 15367 15593 16713 16711 17620 17203 17451 17874 18420 19753 20040 20731 21493 21702 21566 22307 23433 23562 24459 25054 25922 26465 26945 28061 28338 30318 30975 31838 31519 32715 33438 34303 35350 36251 37102 36663 36924 37801 37385 37545 36330 36355 36939 36306 36286 44116 41820 38859 38287 37764 37215 36163 35165 35882 34453 35258 34270 34095 32609 33054 33279 34926 35612 37380 38487 38033 39805 44679 48657
"78 years" "men" 2215 1962 2098 2056 2370 2289 2637 2236 2658 2688 2847 2865 2920 2975 3275 3135 3108 3151 2569 2880 3644 3489 3565 3582 3450 3650 3446 3030 4358 4618 4581 4055 4657 5264 5563 5196 5595 5708 6069 6713 6784 7244 6855 7264 7119 6398 6794 7215 7008 6536 7245 7851 7917 7766 7377 7236 6775 6860 7736 7286 7568 7653 8288 7742 7354 7703 7899 8653 8487 8468 7856 8391 9298 8802 8584 9034 9714 9979 9832 9014 9683 10068 10278 10136 10597 9566 8608 9826 10198 11078 10977 11231 11691 12387 12612 13441 12883 13648 13305 13458 13550 13746 14939 14967 15354 15501 15491 15103 15500 16201 16160 16767 16736 17728 18245 18137 18812 18750 19765 20395 20849 20717 21419 21637 22866 23401 23881 25141 24973 24891 25411 25513 25291 24476 25136 25324 24871 25448 30845 29257 27348 27797 26841 26855 26166 25592 26289 25448 26297 25953 26308 25513 25802 27360 28511 29571 31214 32825 33125 34971 39833
"78 years" "women" 3302 3145 3511 3553 3856 3387 4056 3819 3899 4128 4617 4437 4582 4536 4856 4589 4713 4837 3881 4409 5254 5040 5267 5243 4999 5314 4891 4617 6156 6734 6501 5546 6368 7200 7421 6917 7332 7368 7806 8551 8887 9342 8865 9363 9185 8285 8989 9310 9205 8516 9032 10074 10190 10160 9901 9231 8975 9297 10187 9629 10030 10126 10358 9947 9265 9696 10340 11012 10612 10535 10069 10356 11622 10900 10948 11357 12122 12433 12244 11560 12271 12310 12835 12784 12951 11765 10685 11551 12131 12979 12851 13215 13562 14168 14376 15478 15499 16362 15974 16245 16521 17124 18369 18690 19384 20104 20270 20244 20888 22027 22263 23127 23604 24535 25071 25453 26617 26930 28752 29450 30305 30075 31255 32007 32853 33748 34730 35618 35155 35443 36294 35927 36119 34987 35146 35635 35069 35088 42633 40493 37605 36995 36516 36057 35070 34129 34804 33415 34241 33353 33130 31753 32109 32359 34030 34674 36460 37459 37004 38796 43511
"79 years" "men" 1767 1918 1682 1839 1735 2076 2481 2243 1855 2267 2385 2461 2506 2558 2574 2857 2714 2709 2794 2191 2632 3200 3081 3173 3141 3025 3249 3096 2636 3883 4220 4051 3502 4128 4682 4952 4590 4968 5126 5349 6118 6053 6453 6129 6508 6383 5762 6019 6380 6347 5934 6530 7045 7086 6958 6586 6530 6084 6203 6945 6637 6836 6847 7503 6986 6620 6989 7071 7806 7545 7698 6982 7576 8393 7965 7761 8079 8722 8991 8811 8077 8703 9167 9323 9173 9651 8591 7673 8924 9162 10016 9941 10154 10620 11248 11486 12245 11709 12492 12134 12165 12342 12390 13539 13589 13987 14103 14152 13752 14105 14900 14769 15255 15307 16130 16641 16486 17178 17112 18022 18620 19053 18966 19699 19845 20979 21519 21963 23206 23160 23014 23559 23631 23418 22794 23387 23653 23264 23826 28872 27458 25751 26193 25325 25390 24683 24177 24966 24186 25017 24602 25033 24313 24658 26177 27213 28284 29894 31488 31783 33363
"79 years" "women" 2960 2952 2729 3120 3074 3428 2448 3515 3307 3388 3709 4082 3994 4089 3989 4283 4077 4246 4369 3409 4141 4722 4532 4728 4681 4426 4778 4414 4109 5585 5984 5848 4822 5716 6516 6718 6235 6610 6678 6971 7634 8080 8485 8045 8455 8295 7580 8135 8331 8394 7787 8216 9105 9252 9198 8872 8439 8166 8487 9219 8734 9060 9072 9478 9043 8393 8798 9277 10020 9608 9650 9026 9342 10628 9946 9923 10193 10901 11283 11074 10444 11064 11316 11807 11705 11825 10709 9741 10604 11081 11800 11711 12081 12408 13027 13236 14282 14298 15123 14733 14892 15208 15778 17003 17357 17961 18720 18907 18775 19429 20638 20961 21667 22264 23077 23586 23910 25079 25394 27186 27899 28756 28670 29757 30416 31289 32234 33161 34003 33630 33783 34723 34352 34570 33588 33688 34279 33729 33718 40983 39020 36152 35608 35187 34806 33861 33013 33603 32363 33167 32286 32099 30789 31152 31428 33077 33616 35393 36418 36046 37616
"80 years" "men" 1689 1497 1659 1438 1539 1468 1811 2120 1892 1505 1869 2026 2120 2163 2168 2193 2467 2333 2354 2438 2092 2235 2829 2681 2739 2760 2624 2868 2722 2279 3381 3692 3474 3036 3645 4119 4362 3988 4388 4459 4831 5413 5304 5723 5412 5744 5685 5091 5276 5693 5668 5245 5805 6257 6298 6139 5868 5794 5354 5497 6247 5952 6063 6143 6720 6307 5925 6185 6316 6969 6766 6781 6249 6794 7496 7127 6885 7119 7732 7996 7788 7178 7848 8254 8355 8247 8598 7660 6911 8025 8188 8983 8955 9120 9577 10078 10379 10998 10575 11292 10918 11003 11078 11162 12205 12237 12605 12748 12680 12396 12824 13453 13353 13784 13833 14506 15065 14938 15515 15428 16339 16913 17285 17229 17950 18052 19112 19698 19983 21378 21290 21184 21663 21785 21659 21030 21662 21878 21592 22112 26887 25524 23943 24451 23792 23768 23251 22723 23537 22802 23649 23263 23682 23059 23460 24870 25911 27002 28459 30052 30244
"80 years" "women" 2911 2576 2555 2369 2660 2658 3011 1960 3055 2834 3040 3220 3623 3505 3574 3441 3823 3599 3764 3925 3357 3640 4257 4015 4157 4146 3934 4267 3920 3604 4925 5324 5078 4244 5128 5815 6014 5576 5917 5885 6291 6825 7179 7642 7184 7606 7500 6757 7256 7454 7608 6994 7340 8126 8249 8195 7970 7605 7345 7586 8374 7868 8100 8208 8572 8195 7510 7815 8287 9069 8652 8455 8117 8589 9588 8896 8811 9130 9731 10069 9908 9311 10102 10316 10638 10553 10634 9625 8867 9545 9946 10671 10620 10921 11287 11866 12027 12967 13004 13838 13505 13629 13920 14489 15675 16036 16594 17266 17360 17349 18018 19211 19498 20243 20816 21568 22033 22473 23458 23830 25577 26223 27118 27077 28203 28733 29587 30449 31341 32302 31955 32063 33123 32679 33000 32039 32128 32818 32212 32186 39200 37387 34557 34130 33840 33447 32560 31751 32370 31179 32002 31144 30927 29662 30146 30374 31957 32489 34250 35250 34798
"81 years" "men" 1258 1449 1232 1399 1177 1291 1224 1491 1811 1590 1382 1550 1732 1795 1834 1808 1854 2133 1998 2010 1986 1720 1908 2450 2266 2364 2380 2244 2495 2376 2216 2933 3100 3012 2615 3203 3567 3791 3433 3748 3907 4253 4705 4670 4992 4699 5034 4962 4446 4676 5019 5017 4625 5064 5459 5462 5410 5133 5055 4701 4889 5564 5175 5366 5428 5886 5578 5185 5423 5551 6181 5907 5967 5465 5997 6546 6231 6066 6182 6766 6957 6798 6404 7018 7313 7389 7245 7519 6806 6098 7020 7254 8018 7922 8081 8501 8916 9200 9812 9439 10017 9715 9834 9858 9963 10897 10970 11322 11308 11282 11101 11494 12029 11946 12346 12369 12932 13462 13442 13883 13779 14671 15235 15629 15588 16225 16417 17276 17802 18170 19338 19395 19310 19607 19963 19897 19255 19868 20167 19860 20479 24893 23665 22196 22750 22083 22122 21700 21166 22041 21319 22282 21831 22309 21739 22113 23418 24520 25539 27039 28343
"81 years" "women" 2170 2525 2179 2227 1978 2301 2289 2530 1533 2601 2468 2606 2800 3176 3041 3037 3002 3371 3138 3325 3261 2863 3211 3783 3493 3657 3671 3455 3739 3427 3410 4339 4558 4499 3701 4533 5132 5369 4932 5114 5213 5607 6032 6380 6718 6335 6756 6611 5908 6435 6691 6765 6140 6538 7163 7163 7326 7086 6741 6572 6818 7490 6945 7294 7289 7642 7321 6615 6941 7345 8147 7508 7502 7288 7710 8508 7844 7767 8088 8575 8881 8732 8424 9118 9183 9478 9366 9444 8619 7910 8470 8916 9544 9483 9735 10130 10720 10766 11638 11721 12452 12241 12221 12644 13172 14367 14652 15216 15747 15885 15984 16623 17679 18057 18742 19288 19922 20452 20921 21797 22185 23899 24522 25429 25428 26510 26962 27860 28537 29699 30422 30247 30242 31279 30985 31318 30400 30456 31148 30514 30516 37212 35585 32921 32600 32371 32010 31106 30362 31064 29916 30710 29872 29645 28580 28936 29228 30728 31285 33085 33885
"82 years" "men" 933 1052 1201 994 1161 957 1083 953 1238 1541 1163 1111 1309 1454 1503 1516 1511 1572 1827 1657 1673 1635 1442 1599 2071 1892 2025 2037 1869 2133 2011 1845 2440 2634 2603 2215 2750 3038 3250 2863 3301 3385 3678 4074 3969 4305 4077 4332 4236 3860 4114 4393 4341 3981 4404 4609 4758 4675 4466 4339 4072 4322 4811 4565 4664 4751 5119 4758 4487 4684 4832 5276 5157 5231 4797 5219 5581 5361 5216 5275 5895 6004 6040 5640 6102 6380 6404 6266 6555 6019 5279 6122 6368 7029 6957 7116 7451 7814 8059 8632 8308 8814 8493 8570 8705 8799 9704 9662 9938 10015 10107 9854 10147 10635 10545 10910 10901 11401 11982 11868 12320 12254 13048 13515 14013 13877 14455 14726 15389 16030 16338 17364 17511 17444 17783 18087 18010 17494 18077 18363 18121 18730 22791 21658 20443 21024 20378 20440 20089 19663 20490 19849 20745 20425 20870 20396 20783 22041 23013 24035 25283
"82 years" "women" 1814 1830 2155 1858 1892 1677 1976 1853 2127 1128 2197 2076 2274 2416 2747 2567 2606 2596 2949 2716 2859 2783 2473 2778 3298 3011 3183 3209 2970 3272 3034 2945 3705 3969 3926 3226 3993 4448 4724 4234 4444 4572 4892 5308 5533 5916 5576 5834 5751 5247 5672 5920 5899 5412 5727 6142 6291 6454 6214 5827 5859 5968 6445 6075 6415 6434 6715 6327 5782 6069 6466 6978 6543 6734 6421 6667 7434 6795 6779 6982 7432 7694 7786 7485 8001 8082 8345 8130 8328 7571 6956 7485 7896 8408 8390 8644 9039 9486 9609 10426 10383 11122 10929 10998 11353 11864 12987 13244 13656 14283 14409 14607 15241 16248 16553 17217 17586 18372 18832 19260 20081 20533 22226 22863 23668 23636 24662 25169 26001 26787 27740 28482 28381 28302 29472 29173 29491 28690 28746 29393 28804 28920 35154 33705 31248 30970 30783 30405 29640 28954 29598 28469 29328 28518 28325 27332 27678 27919 29393 29994 31592
"83 years" "men" 698 760 859 1009 776 975 746 862 742 1018 848 951 897 1092 1185 1227 1238 1252 1300 1528 1454 1375 1390 1190 1270 1751 1575 1705 1691 1522 1717 1678 1471 2036 2244 2192 1843 2318 2516 2657 2521 2778 2829 3133 3470 3390 3643 3448 3625 3621 3361 3515 3733 3702 3396 3696 3941 4033 3976 3766 3794 3468 3692 4167 3919 4037 4081 4305 4091 3829 4044 4054 4500 4413 4532 4126 4432 4700 4571 4388 4542 4984 5255 5315 4885 5253 5471 5431 5405 5665 5162 4466 5291 5472 6043 6058 6203 6443 6750 6981 7398 7227 7596 7316 7423 7549 7722 8374 8422 8704 8796 8812 8582 8941 9302 9209 9520 9555 9955 10595 10401 10789 10762 11496 11971 12269 12222 12809 13004 13732 14255 14551 15457 15635 15696 15945 16267 16267 15765 16223 16595 16468 16966 20673 19833 18588 19293 18662 18717 18522 18092 18931 18283 19214 18938 19335 18979 19257 20477 21536 22224
"83 years" "women" 1392 1519 1520 1830 1507 1605 1384 1624 1507 1776 1543 1853 1757 1939 2028 2311 2164 2224 2225 2544 2360 2408 2402 2089 2337 2849 2564 2735 2768 2538 2763 2604 2434 3176 3406 3356 2778 3431 3897 4004 3662 3845 3954 4205 4560 4741 5190 4786 5008 4961 4541 4883 5057 5085 4668 4938 5390 5482 5584 5335 5141 5067 5111 5636 5228 5602 5560 5733 5472 4949 5275 5478 6026 5713 5830 5566 5699 6403 5828 5779 6014 6413 6838 6838 6512 7027 6964 7169 7062 7269 6514 6012 6550 6863 7323 7398 7593 7943 8369 8500 9146 9133 9777 9671 9816 10019 10575 11493 11727 12247 12889 13026 13231 13833 14741 14980 15646 16048 16812 17210 17627 18425 18862 20460 21080 21877 21863 22836 23266 24210 24836 25723 26536 26344 26442 27477 27329 27503 26866 26858 27564 26981 27075 33021 31713 29376 29224 28979 28670 28081 27384 28005 26927 27813 27109 26833 25973 26285 26572 27974 28427
"84 years" "men" 575 554 600 697 819 589 774 556 662 575 683 689 768 715 878 947 976 1009 1011 1063 1167 1188 1136 1132 922 983 1476 1280 1402 1389 1326 1407 1335 1156 1697 1855 1848 1516 1911 2002 2185 2094 2298 2355 2542 2866 2872 3012 2850 3049 3068 2821 2914 3114 3110 2768 3123 3265 3347 3353 3189 3213 2906 3160 3481 3383 3416 3357 3631 3386 3288 3327 3438 3826 3743 3795 3461 3743 3954 3831 3710 3762 4287 4478 4509 4111 4395 4592 4640 4564 4758 4387 3798 4519 4712 5182 5121 5284 5543 5812 5879 6300 6195 6478 6293 6423 6552 6529 7160 7284 7589 7621 7539 7444 7709 8043 7896 8292 8288 8580 9197 8989 9401 9414 10017 10406 10696 10668 11201 11383 12086 12499 12791 13606 13874 13887 14105 14437 14462 14033 14470 14783 14810 15181 18596 17938 16776 17503 16905 17011 16891 16467 17277 16728 17589 17456 17826 17432 17718 18916 19841
"84 years" "women" 1116 1154 1251 1237 1503 1221 1326 1078 1322 1194 1378 1251 1573 1474 1609 1638 1951 1812 1871 1862 2016 1937 2043 2037 1713 1927 2461 2138 2316 2351 2238 2341 2135 2024 2689 2884 2796 2348 2958 3231 3291 3070 3253 3345 3492 3852 4091 4401 4035 4288 4292 3874 4131 4273 4316 3909 4223 4574 4662 4697 4603 4409 4233 4416 4829 4468 4800 4676 4893 4666 4269 4367 4649 5226 4859 4954 4722 4851 5489 4889 4890 5027 5568 5925 5875 5585 5977 5880 6155 6043 6192 5550 5173 5622 5886 6342 6362 6620 6925 7322 7407 7926 7922 8512 8494 8689 8872 9336 10122 10333 10948 11529 11600 11854 12473 13208 13428 14097 14460 15234 15543 15860 16735 17145 18741 19213 20060 20063 20902 21313 22223 22828 23708 24302 24276 24481 25483 25325 25530 24961 24955 25586 25110 25257 30867 29656 27414 27401 27148 26892 26346 25771 26308 25315 26168 25534 25277 24448 24821 25169 26393
"85 years" "men" 451 467 418 461 534 637 422 601 385 517 494 537 543 619 533 673 742 784 798 805 876 920 958 892 908 681 762 1243 999 1140 1067 1066 1088 1074 907 1393 1495 1521 1229 1507 1661 1744 1719 1857 1909 2078 2381 2358 2431 2349 2539 2546 2290 2408 2555 2506 2274 2515 2682 2769 2814 2638 2595 2452 2650 2861 2789 2733 2787 3009 2836 2601 2774 2842 3176 3028 3116 2844 3104 3247 3150 3061 3172 3603 3749 3744 3398 3630 3869 3896 3787 3947 3600 3156 3811 4015 4324 4239 4469 4692 4929 4983 5280 5210 5428 5404 5480 5545 5514 6108 6235 6484 6492 6378 6330 6543 6801 6761 7099 7154 7317 7862 7720 8057 8095 8611 8995 9241 9147 9776 9822 10526 10853 11081 11906 12026 12084 12336 12571 12738 12377 12848 13046 13145 13519 16491 16004 14995 15700 15180 15318 15133 14813 15607 15176 15899 15847 16212 15899 16221 17075
"85 years" "women" 935 914 921 1031 943 1244 955 1050 812 1056 1059 1109 1021 1331 1164 1281 1339 1634 1472 1564 1541 1655 1597 1691 1707 1349 1603 2092 1754 1939 1879 1843 1889 1773 1630 2277 2442 2350 1918 2383 2628 2750 2510 2723 2717 2902 3202 3369 3632 3401 3689 3625 3241 3472 3545 3541 3287 3572 3839 3847 3990 3845 3625 3602 3748 4049 3785 3937 3933 4067 4003 3484 3650 3935 4368 3990 4103 3879 4060 4552 4052 4076 4295 4730 4959 4935 4667 5029 5026 5209 5147 5188 4731 4379 4777 5065 5404 5424 5651 5958 6261 6383 6778 6796 7405 7272 7603 7627 8089 8807 9155 9666 10124 10224 10504 11076 11701 11943 12568 12887 13553 13800 14264 15029 15502 16823 17259 18161 18147 18960 19369 20250 20778 21572 22306 22128 22404 23360 23242 23362 22862 22981 23437 23126 23384 28568 27394 25301 25385 25185 25033 24540 23950 24518 23634 24417 23865 23638 22866 23265 23459
"86 years" "men" 354 361 354 307 330 403 504 272 471 260 427 372 421 419 468 373 514 581 618 629 641 674 724 766 690 720 501 586 1014 768 910 844 799 861 865 728 1106 1209 1232 907 1172 1336 1401 1389 1455 1475 1694 1883 1880 1936 1901 2061 2066 1867 1886 2021 2007 1810 2030 2160 2267 2330 2134 2103 1995 2191 2331 2218 2216 2261 2465 2245 2126 2269 2323 2597 2441 2469 2339 2481 2601 2514 2532 2654 2961 3063 3039 2732 2984 3191 3159 3015 3155 2975 2635 3173 3317 3527 3511 3674 3864 4087 4075 4347 4349 4569 4502 4427 4570 4595 5162 5212 5431 5462 5321 5298 5503 5754 5665 5973 5999 6089 6676 6469 6909 6819 7328 7641 7814 7826 8320 8356 8990 9270 9598 10169 10359 10499 10617 10896 10996 10748 11174 11352 11541 11884 14423 14121 13258 13893 13417 13670 13449 13214 13956 13553 14233 14239 14566 14397 14455
"86 years" "women" 743 751 712 739 784 741 1008 704 817 603 804 826 906 800 1069 877 1046 1070 1367 1188 1241 1240 1351 1272 1389 1386 1073 1298 1726 1426 1561 1515 1434 1553 1435 1350 1889 2026 1929 1489 1889 2165 2224 2067 2237 2228 2435 2624 2704 3017 2795 3030 2977 2660 2810 2855 2963 2699 3002 3127 3203 3285 3045 3011 2951 3127 3320 3072 3226 3208 3383 3134 2854 3060 3273 3548 3231 3360 3199 3327 3682 3243 3428 3609 3902 4058 4034 3822 4175 4204 4328 4216 4324 3977 3645 4071 4292 4501 4548 4766 4993 5274 5383 5734 5764 6378 6222 6401 6489 6954 7656 7932 8381 8783 8903 9204 9578 10302 10513 11109 11341 11932 12250 12673 13348 13731 14981 15414 16170 16215 16963 17398 18260 18678 19477 20218 20019 20353 21241 21013 21226 20682 20844 21363 21019 21400 26186 25072 23095 23310 23171 23001 22520 22105 22602 21879 22556 22099 21880 21249 21480
"87 years" "men" 158 280 266 277 209 237 300 380 164 370 274 332 279 318 315 352 250 385 456 486 483 487 521 561 591 528 580 356 421 826 675 712 635 603 660 682 542 872 940 967 803 918 1061 1108 1063 1124 1167 1314 1463 1492 1608 1525 1594 1629 1472 1458 1602 1544 1436 1619 1769 1842 1803 1703 1654 1603 1772 1792 1738 1758 1860 1905 1818 1689 1846 1868 2035 1942 1999 1812 1933 1989 2011 2062 2125 2371 2450 2433 2210 2410 2554 2511 2404 2531 2412 2137 2574 2651 2815 2874 2967 3190 3295 3347 3601 3559 3795 3672 3539 3726 3802 4263 4346 4505 4531 4385 4314 4531 4727 4651 4966 4978 5101 5555 5475 5733 5696 6117 6359 6642 6583 7053 7084 7509 7917 8164 8594 8771 8926 8962 9242 9459 9116 9587 9822 9906 10344 12537 12249 11544 12126 11725 11902 11875 11664 12268 11957 12543 12574 12938 12662
"87 years" "women" 393 597 572 553 537 618 538 785 507 641 544 617 654 718 604 828 688 834 859 1115 981 972 994 1069 991 1105 1128 812 981 1421 1307 1236 1160 1134 1248 1171 1043 1508 1641 1488 1295 1504 1742 1811 1617 1781 1795 1946 2086 2155 2485 2265 2468 2376 2152 2183 2273 2416 2214 2409 2607 2578 2611 2484 2504 2371 2549 2621 2503 2586 2621 2633 2536 2328 2478 2666 2845 2544 2758 2516 2655 2932 2699 2839 2963 3158 3272 3201 3120 3394 3363 3398 3410 3524 3221 3012 3361 3518 3708 3766 3893 4110 4387 4463 4808 4840 5496 5275 5353 5457 5919 6624 6760 7156 7595 7601 7803 8297 8926 9097 9731 9801 10482 10800 11175 11692 12028 13169 13515 14304 14349 15113 15495 16146 16667 17411 17996 17973 18197 18971 18783 19004 18430 18710 19253 18959 19385 23581 22693 20958 21162 21063 20897 20519 20201 20613 20009 20605 20265 20111 19489
